SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
523694,APCOTEX IND ,A ,Q,188.10,188.65,181.80,183.40,183.00,184.75,308,8943,1641071.00,
523696,FORTIS MLR  ,X ,Q,53.00,53.05,52.60,52.90,53.00,53.20,25,3700,196118.00,
523704,MASTEK LTD  ,A ,Q,1172.95,1270.00,1170.90,1190.35,1190.35,1162.60,3020,39346,47883543.00,
523708,EIMCO ELECON,B ,Q,374.15,394.30,370.65,385.45,385.45,379.70,351,2415,912635.00,
523710,SAYAJI HOTEL,XT,Q,217.10,232.90,217.10,220.20,220.20,225.45,14,100,22284.00,
523716,ASHIANA HOU ,B ,Q,104.80,104.80,99.00,99.50,99.50,100.75,371,18329,1871144.00,
523722,SVAM SOFTWAR,XT,Q,2.38,2.38,2.38,2.38,2.38,2.34,13,8035,19123.00,
523732,ECO BOARD IN,XT,Q,4.00,4.20,3.80,4.20,4.20,4.00,15,1818,7121.00,
523736,DVL         ,B ,Q,100.90,102.50,91.35,93.10,92.00,100.40,806,24485,2375761.00,
523752,IO SYSTEM   ,X ,Q,1.75,2.13,1.75,2.13,2.13,1.94,4,226,435.00,
523754,MAHEPC      ,B ,Q,153.45,157.00,151.50,152.00,152.00,152.50,317,15254,2347770.00,
523756,SREIINFRA   ,B ,Q,7.36,7.50,7.25,7.37,7.31,7.42,278,106749,789974.00,
523782,MITSHI      ,X ,Q,16.80,18.50,16.80,18.00,18.00,18.35,16,1045,18891.00,
523792,MAZDA LTD   ,B ,Q,589.70,589.70,560.00,563.40,565.60,609.30,771,8649,4942967.00,
523796,VICEROY HOTE,T ,Q,2.70,2.79,2.70,2.70,2.70,2.84,33,8955,24556.00,
523826,SOVEREIGN DI,X ,Q,5.55,5.55,5.55,5.55,5.55,5.55,2,7,38.00,
